용도,일반명(한글),일반명(영문),CAS No,화학명,구조식,용해도,분자식,비점,분자량,증기압,외관,KowLogP,융점,밀도,코드명,코드설명,계통명
생조,나이트로페놀레이트혼합액,Nitrophenolate Mixture,162615-37-4,"Sodium 5-nitroguaiacolate, Sodium 2-methoxy-5-nitrophenolate (0.1%)  Sodium o-nitrophenolate, Sodium 2-nitrophenolate                   (0.2%)  Sodium p-nitrophenolate, Sodium 4-nitrophenolate dihydrate       (0.3%)",,"In water 1.3, 0.78, 14.7 (pH 4), 1.8, 2.8, 13.9 (pH 7), 86.8, 181.6, 57.4 (pH 10) (all in g/L). In n-heptane 2.8, <0.2, 0.094 (all in mg/L). In methane 53000, 47000, 181000 (all in mg/L).","C7H6NNaO4, C6H4NNaO3, C6H4NNaO3",,"191.1, 161.1, 161.1",,"적색 분말, 적색 분말, 황색 미세입자","1.49, 1.70, 1.82 (pH 4)","Decomposes above 145, 280, 175℃","1.55, 1.65, 1.41 (22℃)",비대상(생장조정제),생장조정제 비저항성 발생 농약,
제초,나프로아닐라이드,Naproanilide,52570-16-8,(RS)-α-2-naphthoxypropionanilide,,In water 0.75 mg/L (27℃).,C19H17NO2,,291.3,,,4.420,128℃,,H15,장쇄 지방산 합성저해,anilide
제초,나프로파마이드,Napropamide,15299-99-7,"(RS)-N,N-diethyl-2-(1-naphthyloxy)propionamide",,"In water 7.4 mg/L (25℃).  In acetone, ethanol &#38;gt1000, xylene 555, kerosene 45, hexane 15 (all in g/L, 20℃).",C17H21NO2,316.7℃/1005.6 hPa,271.4,316.7℃/1005.6 hPa,무색 결정,,74.8-75.5℃,1.1826,H15,장쇄 지방산 합성저해,amide
살균,네오아소진,Neoasozin,33972-75-7,"ferric salt of methyl arsonic acid Arsonic acid, methyl-, iron salt (9CI) Methanearsonic acid, iron salt",,물에 약간 녹음,CH3AsFeO3,,193.9,,고운 황갈색 분말,,300℃,,미분류(살균제),"메트라페논, 사이목사닐, 사이플루페나미드 등",
살충,노발루론,Novaluron,116714-46-6,"(+)-1-[3-chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)phenyl]-3-(2,6-difluorobenzoyl)urea",,,C17H9ClF8N2O4,,492.7,,백색 고체,,176.5-178℃,1.56 (22℃),15,벤조일요소계,benzoylphenylurea chitin synthesis inhibitors
살충,노비플루뮤론,noviflumuron,121451-02-3,"1-{3,5-dichloro-2-fluoro-4-[(RS)-1,1,2,3,3,3-hexafluoropropoxy]phenyl}-3-(2,6-difluorobenzoyl)urea",,"In water 0.194 mg/L (pH 6.65, unbuffered, 20℃).  In acetone 425, acetonitrile 44.9, 1,2-dichloroethane 20.7, ethyl acetate 290, heptane 0.068,     methanol 48.9, n-octanol 8.1, p-xylene 93.3 (all in g/L, 19℃).",C17H7Cl2F9N2O3,Decomp. c. 250℃,529.1,Decomp. c. 250℃,백색 무취 분말,4.94 (20℃),156.2℃,1.88 (pycnometer),15,벤조일요소계,benzoylphenylurea chitin synthesis inhibitors
제초,노플루라존,norflurazon,27314-13-2,"4-chloro-5-methylamino-2-(α,α,α-trifluoro-m-tolyl)pyridazin-3(2H)-one",,"In water 34 mg/L (25℃).   In ethanol 142, acetone 50, xylene 2.5 (all in g/L, 25℃).  Sparingly soluble in hydrocarbons.",C12H9ClF3N3O,,303.7,,백색~회갈색 결정성 분말,"2.45 (pH 6.5, 25℃)",174-180℃,0.63 (20℃),F1,카로티노이드 생합성 저해(PDS),pyridazinone
살균,뉴아리몰,Nuarimol,63284-71-9,(RS)-2-chloro-4′-fluoro-α-(pyrimidin-5-yl)benzhydryl alcohol,,In water 26 mg/L (25℃).,C17H12ClFN2O,,314.7,,무색 결정,3.18,126℃,,사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",pyrimidine
제초,니코설퓨론,Nicosulfuron,111991-09-4,"2-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-N,N-dimethylnicotinamide  or  1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-dimethylcarbamoyl-2-pyridylsulfonyl)urea",,,C15H18N6O6S,,410.4,,무색 결정,,169-172℃,0.313 (bulk),H02,분지 아미노산 생합성 저해,pyrimidinylsulfonylurea
살충,니코틴,nicotine,54-11-5,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,,"Miscible with water below 60℃, forming a hydrate, and above 210℃. Miscible with diethyl ether and ethanol. Readily soluble in most organic solvents.",C10H14N2,246-247℃,162.2,246-247℃,무색 액체 (빛과 공기에 노출 시 흑변),"0.93 (25℃, unionised)",-80℃,1.01 (20℃),4b,니코틴,botanical
살충,니코틴설페이트,nicotine sulfate,65-30-5,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine sulfate (2:1),,In water 2.06 × 10^5 mg/L (25℃).,C20H30N4O4S,,422.5,,,0.400,,,4b,니코틴,miscellaneous (used to generate nicotine)
살충,니텐피람,nitenpyram,150824-47-8,(E)-N-(6-chloro-3-pyridylmethyl)-N-ethyl-N′-methyl-2-nitrovinylidenediamine,,"In water >590 g/L (pH 7.0, 20℃).  In dichloromethane and methanol >1000, chloroform 700, acetone 290, ethyl acetate 34.7, toluene 10.6,     xylene 4.5, hexane 0.00470 (all in g/L, 20℃).",C11H15ClN4O2,,270.7,,담황색 결정,-0.66 (25℃),82.0℃,1.40 (26℃),4a,네오니코티노이드계,"nitromethylene, pyridylmethylamine neonicotinoid"
살균,니트라피린,Nitrapyrin,1929-82-4,2-chloro-6-trichloromethylpyridine,,"In water 72 ppm (25℃). In anhydrous ammonia 540 g/kg (22℃), ethanol 300 g/kg (20℃). In acetone 1.98 kg/kg (20℃). dichloromeahane 1.85 kg/kg (20℃). xylene1.04 kg/kg (26℃).",C6H3Cl4N,136-137.5℃/11 mmHg,230.9,136-137.5℃/11 mmHg,백색 결정성 고체,3.32,62.5-62.9℃,1.55 (20℃),미분류,작용기구 불명,bactericides
제초,니트랄린,Nitralin,4726-14-1,"4-mesyl-2,6-dinitro-N,N-dipropylaniline",,In water 0.6 mg/L (25℃),C13H19N3O6S,,345.4,,,2.920,150℃,,H03,미소관 조합 저해,dinitroaniline
제초,니트로펜,Nitrofen,1836-75-5,"2,4-dichlorophenyl 4-nitrophenyl ether",,In water 1 mg/L (22℃),C12H7Cl2NO3,,284.1,,,4.64,70℃,,미분류,작용기구 불명,netrophenyl ether
제초,니트로플루오르펜,nitrofluorfen,42874-01-1,"2-chloro-α,α,α-trifluoro-p-tolyl 4-nitrophenyl ether",,In water 0.523 mg/L (25℃).,C13H7ClF3NO3,,317.6,,,4.54,68℃,,미분류,작용기구 불명,nitrophenyl ether
살충,니트릴라카브,nitrilacarb,29672-19-3,"(EZ)-4,4-dimethyl-5-(methylcarbamoyloxyimino)valeronitrile or (EZ)-4,4-dimethyl-5-(methylcarbamoyloxyimino)pentanenitrile",,,C9H15N3O2,,197.2,,,,,,미분류,작용기구 불명,oxime carbamate
살충,니티아진,nithiazine,58842-20-9,"(EZ)-2-nitromethylene-1,3-thiazinane",,,C5H8N2O2S,,160.2,,,,,,미분류,작용기구 불명,nitromethylene neonicotinoid
살충,니플루리다이드,nifluridide,61444-62-0,"6′-amino-α,α,α,2,2,3,3-heptafluoro-5′-nitropropion-m-toluidide",,,C10H6F7N3O3,,349.2,,,,,,미분류,작용기구 불명,unclassified
제초,니피라클로펜,nipyraclofen,99662-11-0,"1-(2,6-dichloro-α,α,α-trifluoro-p-tolyl)-4-nitropyrazol-5-ylamine",,,C10H5Cl2F3N4O2,,341.1,,,,,,미분류,작용기구 불명,phenylpyrazole
생조,다미노자이드,Daminozide,1596-84-5,N-(dimethylamino)succinamic acid,,"In distilled water 180 g/L (25℃). In methanol 50, acetone 1.47 (both in g/L, 25℃). Insoluble in hydrocarbons.",C6H12N2O3,Decomposes 142-145℃,160.2,Decomposes 142-145℃,백색 분말 (tech.),,156-158℃,1.302 (21℃),비대상(생장조정제),생장조정제 비저항성 발생 농약,growth retardants
제초,다이뮤론,Daimuron,42609-52-9,"1-(1-methyl-1-phenylethyl)-3-p-tolylurea or 1-(α,α-dimethylbenzyl)-3-p-tolylurea",,,C17H20N2O,,268.4,,백색 무취 침,2.7,200-201℃,1.116 (20℃),미분류(제초제),기타,phenylurea
살충,다이아지논,Diazinon,333-41-5,"O,O-diethyl O-2-isopropyl-6-methylpyrimidin-4-yl phosphorothioate",,,C12H21N2O3PS,"83-84℃/0.0002 mmHg, 125℃/1 mmHg",304.3,"83-84℃/0.0002 mmHg, 125℃/1 mmHg",무색 투명 액체,,&#38;amplt25℃,1.11 (20℃),1b,유기인계,pyrimidine organothiophosphate
제초,다이쾃,Diquat,2764-72-9,"9,10-dihydro-8a,10a-diazoniaphenanthrene or 6,7-dihydrodipyrido[1,2-a:2′,1′-c]pyrazine-5,8-diium or 1,1′-ethylene-2,2′-bipyridyldiylium",,In water 70 mg/L (20℃).,C12H12N2,,184.2,,,2.360,,,D,광화학계Ⅰ 저해(비피리딜리움 계),quaternary ammonium
제초,다이쾃디브로마이드,Diquat dibromide,85-00-7,"9,10-dihydro-8a,10a-diazoniaphenanthrene dibromide  or  6,7-dihydrodipyrido[1,2-a:2′,1′-c]pyrazine-5,8-diium dibromide  or  1,1′-ethylene-2,2′-bipyridyldiylium dibromide",,In water &gt700 g/L (20℃). Slightly soluble in alcohols and hydroxylic solvents (25 g/L). Insoluble in non-polar organic solvents (&lt0.1 g/L).,C12H12Br2N2,,344.1,,무색~황색 결정 (monohydrate),,Decomposes above 325℃ (monohydrate),"1.61 (25℃, monohydrate)",H14,엽록소 생합성 저해,quaternary ammonium
살균,다이페닐아민,Diphenylamine,122-39-4,diphenylamine,,Sparingly soluble in water. Readily soluble in organic solvents.,C12H11N,302℃,169.2,302℃,크림색 조각,3.5,53-54℃,1.177 (25℃),미분류,작용기구 불명,bridged diphenyl
살균,다조멧,Dazomet,533-74-4,"3,5-dimethyl-1,3,5-thiadiazinane-2-thione  or  tetrahydro-3,5-dimethyl-1,3,5-thiadiazine-2-thione",,"In water 3.5 g/L (20℃). In cyclohexane 400, chloroform 391, acetone 173, benzene 51,  ethanol 15, diethyl ether 6 (all in g/kg, 20℃).",C5H10N2S2,,162.3,,무색 결정,0.63,"104-105℃ (decomp., tech. grade)",1.36,미분류(살균제),"메트라페논, 사이목사닐, 사이플루페나미드 등",cyclic dithiocarbamate
제초,달라폰마그네슘,dalapon-magnesium,29110-22-3,"magnesium bis(2,2-dichloropropionate)",,Very soluble in water.,C6H6Cl4MgO4,,308.2,,,,,,N,그밖의 지질 생합성 저해,halogenated aliphatic
제초,달라폰칼슘,dalapon-calcium,53606-78-3,"calcium bis(2,2-dichloropropionate)",,,C6H6CaCl4O4,,324.0,,,,,,N,그밖의 지질 생합성 저해,halogenated aliphatic
살충,데메톤에스메틸,Demeton-S-methyl,919-86-8,"S-2-ethylthioethyl O,O-dimethyl phosphorothioate",,"In water 22 g/L (20℃). Readily soluble in common polar organic solvents (e.g. alcohols, ketones, chlorinated hydrocarbons, c. 200 g/L     in dichloromethane, isopropanol, toluene)",C6H15O3PS2,"74/0.052, 89/0.15,118/1 (℃/mmHg)",230.3,"74/0.052, 89/0.15,118/1 (℃/mmHg)",담황색 기름 (tech.),1.32 (20℃),<25℃,1.207 (20℃),1b,유기인계,aliphatic organothiophosphate
살균,데바카브,debacarb,62732-91-6,2-(2-ethoxyethoxy)ethyl benzimidazol-2-ylcarbamate,,,C14H19N3O4,,293.3,,,,,,나1,미세소관 생합성 저해 (벤지미다졸계),"benzimidazole, benzimidazolylcarbamate"
생조,데실알코올,Decyl alcohol,112-30-1,decan-1-ol,,In water 225 mg/L (25℃). Very soluble in most organic solvents.,C10H22O,233℃,158.3,233℃,점성 액체,,6.9℃,1.4359 (20℃),비대상(생장조정제),생장조정제 비저항성 발생 농약,
제초,델라클로르,delachlor,24353-58-0,"2-chloro-N-(isobutoxymethyl)acet-2′,6′-xylidide",,,C15H22ClNO2,,283.8,,,,,,미분류,작용기구 불명,chloroacetanilide
살충,델타메트린,Deltamethrin,52918-63-5,"(S)-a-cyano-3-phenoxybenzyl(1R,2R)-3-(2,2-dibromovinyl)-2,2-dimethyl cyclopropane carboxylate",,"&#38;quotIn water &#38;lt2.0E-4 mg/L (25℃).   In acetone 500,benzene450,cyclohexanone750,dichloromethane 700,dioxane 900,DMSO450, ethanol 15,isopropanol 6,xylene 250 (all in g/L, 20℃).   &#38;quot",C22H19Br2NO3,,505.2,,무색 결정,4.6,100-102℃,Bulk density 0.55 g/cm^3 (25℃),3a,합성피레스로이드계,pyrethroid ester
살균,도데모르프아세테이드,dodemorph acetate,31717-87-0,"4-cyclododecyl-2,6-dimethylmorpholinium acetate or 4-cyclododecyl-2,6-dimethylmorpholine acetate",,"In water 736 (pH 5), 520 (pH 7), 2.29 (pH 9) (all in mg/L, 25℃). In benzene, chloroform >1000, cyclohexane 846, ethyl acetate 205, ethanol 66, acetone 22 (all in g/kg, 20℃).",C20H39NO3,315℃/101.3 kPa,341.5,315℃/101.3 kPa,무색 고체,"2.52 (pH 5), 4.23 (pH 9)",63-64℃,c. 0.93,사2,이성질화 효소 기능 저해,morpholine
살균,도디신소듐,dodicin-sodium,59079-49-1,"sodium N-[2-(2-dodecylaminoethylamino)ethyl]glycinate or sodium 3,6,9-triazaheneicosanoate",,,C18H38N3NaO2,,351.5,,,,,,미분류,작용기구 불명,aliphatic nitrogen
살균,도딘,Dodine,2439-10-3,1-dodecylguanidinium acetate,,"In water 630 mg/L (25℃). Readily soluble in mineral acids, soluble in hot water and in alcohols: in butane-1,4-diol, n-butanol,   cyclohexanol, N-methylpyrrolidone, n-propanol, tetrahydrofurfuryl alcohol >250 g/L. Insoluble in most organic solvents.",C15H33N3O2,,287.4,,무색 결정,1.65,136℃,,카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등",aliphatic nitrogen
살충,도라멕틴,doramectin,117704-25-3,"(10E,14E,16E)-(1R,4S,5′S,6S,6′R,8R,12S,13S,20R,21R,24S)-6′-cyclohexyl-21,24-dihydroxy-5′,11,13,22-tetramethyl-2-oxo-(3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene)-6-spiro-2′-(5′,6′-dihydro-2′H-pyran)-12-yl 2,6-dideoxy-4-O-(2,6-dideoxy-3-O-methyl-α-L-arabino-hexopyranosyl)-3-O-methyl-α-L-arabino-hexopyranoside",,,C50H74O14,,899.1,,,,,,미분류,작용기구 불명,avermectin
살충,도미니칼루러,dominicalure,"80510-16-3, -15-2","mixture of (S)-1-methylbutyl (E)-2,4-dimethylpent-2-enoate and (S)-1-methylbutyl (E)-2-methylpent-2-enoate",,,"C12H22O2, C11H20O2",,"198.3,184.3",,,,,,미분류,작용기구 불명,coleopteran attractants
살충,도페나핀,dofenapyn,42873-80-3,4-(pent-4-ynyloxy)phenyl phenyl ether,,,C17H16O2,,252.3,,,,,,미분류,작용기구 불명,"bridged diphenyl acaricides, mite growth regulator"
살균,디노뷰톤,Dinobuton,973-21-7,"(RS)-2-sec-butyl-4,6-dinitrophenyl isopropyl carbonate",,"In water 0.1 mg/L (20℃). Soluble in ethanol, aliphatic hydrocarbons and fatty oils. Highly Soluble in aromatic hydrocarbons and lower aliphatic ketones.",C14H18N2O7,,326.3,,담황색 결정,3.038,61-62℃,0.9 (20℃),미분류,작용기구 불명,dinitrophenol
제초,디노셉디올라마인,dinoseb-diolamine,53404-43-6,"(RS)-2-sec-butyl-4,6-dinitrophenol - 2,2′-iminodiethanol (1:1) or bis(2-hydroxyethyl)ammonium (RS)-2-sec-butyl-4,6-dinitrophenoxide",,,C14H23N3O7,,345.3,,,,,,M,막파괴,dinitrophenol
제초,디노셉소듐,dinoseb-sodium,35040-03-0,"sodium (RS)-2-sec-butyl-4,6-dinitrophenolate",,,C10H11N2NaO5,,262.2,,,,,,M,막파괴,dinitrophenol
살균,디노캅,Dinocap,39300-45-3,"(RS)-2,6-dinitro-4-octylphenyl crotonates and (RS)-2,4-dinitro-6-octylphenyl crotonates in which “octyl” is a mixture of 1-methylheptyl, 1-ethylhexyl and 1-propylpentyl groups",,"In water 0.151 mg/L. (2,4-isomer) In acetone, 1,2-dichloroethane, ethyl acetate, n-heptane, methanol and xylene >250 g/L. (2,6-isomer) In acetone, 1,2-dichloroethane, ethyl acetate and xylene >250, n-heptane 8.5-10.2, methanol 20.4-25.3 (all in g/L).",C18H24N2O6,"138-140℃/0.05 mmHg, decomp.>200℃(a.p.)",364.4,"138-140℃/0.05 mmHg, decomp.>200℃(a.p.)",암적색 점성 액체,4.54 (20℃),-22.5℃,1.10 (20℃),다5,산화적인산화 반응에서 인산화반응 저해,dinitrophenol
살충,디노테퓨란,Dinotefuran,165252-70-0,(EZ)-(RS)-1-methyl-2-nitro-3-(tetrahydro-3-furylmethyl)guanidine,,,C7H14N4O3,Decomp. 208℃,202.2,Decomp. 208℃,백색 결정성 고체,,107.5℃,1.40,4a,네오니코티노이드계,nitroguanidine neonicotinoid
제초,디노페네이트,dinofenate,61614-62-8,"(RS)-2-sec-butyl-4,6-dinitrophenyl 2,4-dinitrophenyl carbonate",,,C17H14N4O11,,450.3,,,,,,미분류,작용기구 불명,"carbonate, dinitrophenol"
살균,디녹톤,dinocton,104078-12-8,"reaction mixture of isomeric dinitro(octyl)phenyl methyl carbonates in which “octyl” is a mixture of 1-methylheptyl, 1-ethylhexyl and 1-propylpentyl groups",,,C16H22N2O7,,356.4,,,,,,미분류,작용기구 불명,"dinitrophenol acaricides, dinitrophenol fungicides"
살균,디니코나졸,Diniconazole,83657-24-3,"(E)-(RS)-1-(2,4-dichlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol",,"In water 4 mg/L (25℃).  In acetone, methanol 95, xylene 14, hexane 0.7 (all in g/kg, 25℃).",C15H17Cl2N3O,,326.2,,무색 결정,,c. 134-156℃,1.32 (20℃),사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",conazole
살균,디니코나졸-엠,diniconazole-M,83657-18-5,"(E)-(R)-1-(2,4-dichlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol",,,C15H17Cl2N3O,,326.2,,,,,,사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",conazole
제초,디니트라민,dinitramine,29091-05-2,"N1,N1-diethyl-2,6-dinitro-4-trifluoromethyl-m-phenylenediamine",,"In water 1 mg/L (20℃).  In acetone 1040, chloroform 670, benzene 473, xylene 227, ethanol 107, n-hexane 6.7 (all in g/L, 20℃).",C11H13F3N4O4,,322.2,,황색 결정,c. 4.3,98-99℃,,K1,미소관 조합 저해,"dinitroaniline, phenylenediamine"
,디니트로오르토크레솔(디엔오시),dinitro-ortho-cresol (DNOC),497-56-3,"2-Methyl-3,5-dinitrophenol",,In water 13 mg/L (15℃).,C7H6N2O5,,198.1,,,2.270,,,,,
살균,디니트로페놀스,dinitrophenols,25550-58-7,dinitrophenol,,In water 5.6 mg/L (18℃).,C6H4N2O5,,186.1,,,1.730,,,미분류,작용기구 불명,wood preservatives
살충,디디티,DDT,50-29-3,"1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane",,"Practically insoluble in water. In cyclohexanone 1000, dioxane 1000, dichloromethane 850, benzene 770, trichloroethylene 720, xylene 600, acetone 500,       carbon tetrachloride 470, chloroform 310, diethyl ether 270, ethanol 60, methanol 40 (all in g/L, 27℃).",C14H9Cl5,185-187℃/0.05 mmHg (decomp.) (pp'- DDT),354.5,185-187℃/0.05 mmHg (decomp.) (pp'- DDT),무색 결정,6.91,108.5-109℃ (pp'- DDT),1.56 (15℃),3b,"DDT, 메톡시클로르","bridged diphenyl, organochlorine"
제초,디메타메트린,Dimethametryn,22936-75-0,"(RS)-N2-(1,2-dimethylpropyl)-N4-ethyl-6-methylthio-1,3,5-triazine-2,4-diamine",,"In water 50 mg/L (20℃). In acetone 650, dichloromethane 800, hexane 60, methanol 700, n-octanol 350, toluene 600 (all in g/L, 20℃).",C11H21N5S,151-153℃/0.05 mmHg,255.4,151-153℃/0.05 mmHg,무색 결정,,65℃,1.098 (20℃),H05,광화학계 Ⅱ 저해 (D1 Serine 264 binders),methylthiotriazine
제초,디메타클로르,dimethachlor,50563-36-5,"2-chloro-N-(2-methoxyethyl)acet-2′,6′-xylidide",,"In water 2.3 g/L (25℃).  Readily soluble in most organic solvents, e.g. ketones, alcohols, chlorinated hydrocarbons and aromatic hydrocarbons. In methanol, benzene, dichloromethane >800, n-octanol 440 (all in g/kg, 25℃).",C13H18ClNO2,c. 320℃ (decomp. c. 300℃),255.7,c. 320℃ (decomp. c. 300℃),무색 결정,2.17,45.8-46.7℃,1.23 (20℃),K3,장쇄 지방산 합성저해,chloroacetanilide
제초,디메테나미드,Dimethenamid,87674-68-8,"(RS)-2-chloro-N-(2,4-dimethyl-3-thienyl)-N-(2-methoxy-1-methylethyl)acetamide",,"In water 1.2 g/L (pH 7, 25℃).   In heptane 282, iso-octanol 220 (both in g/kg, 25℃).  In ether, kerosene,ethanol all >50% (25℃).",C12H18ClNO2S,127℃/26.7 Pa,275.8,127℃/26.7 Pa,황갈색 점성 액체,2.15±0.02 (25℃),<-50℃,1.187 (25℃),H15,장쇄 지방산 합성저해,amide
